name	start	end	strand	col	fill	lwd
L	692167069	692167069	1	8	8	0.01
L	785485010	785485010	1	8	8	0.01
L	635104641	635104641	1	8	8	0.01
L	2252057907	2252057907	1	9	9	0.01
L	44852060	44852060	1	9	9	0.01
L	44964857	44964857	1	9	9	0.01
L	2530784184	2530784184	1	9	9	0.01
L	1965848103	1965848103	1	9	9	0.01
L	1051592567	1051592567	1	9	9	0.01
L	1051592567	1051592567	1	9	9	0.01
L	51502843	51502843	1	9	9	0.01
L	97305705	97305705	1	9	9	0.01
L	97134074	97134074	1	9	9	0.01
L	96473721	96473721	1	9	9	0.01
L	2056052563	2056052563	1	9	9	0.01
L	2082198524	2082198524	1	9	9	0.01
L	778959753	778959753	1	9	9	0.01
L	779130625	779130625	1	9	9	0.01
L	779950956	779950956	1	9	9	0.01
L	779981205	779981205	1	9	9	0.01
L	782912776	782912776	1	9	9	0.01
L	783681604	783681604	1	9	9	0.01
L	2046076257	2046076257	1	9	9	0.01
L	943847255	943847255	1	9	9	0.01
L	2557630104	2557630104	1	9	9	0.01
L	1820481661	1820481661	1	9	9	0.01
L	2521626628	2521626628	1	9	9	0.01
L	80847644	80847644	1	9	9	0.01
L	82515373	82515373	1	9	9	0.01
L	75204717	75204717	1	9	9	0.01
L	74868840	74868840	1	9	9	0.01
L	90000455	90000455	1	9	9	0.01
L	88566907	88566907	1	9	9	0.01
L	143233795	143233795	1	9	9	0.01
L	2239908933	2239908933	1	9	9	0.01
L	154626941	154626941	1	9	9	0.01
L	65027842	65027842	1	9	9	0.01
L	61123736	61123736	1	9	9	0.01
L	58409676	58409676	1	9	9	0.01
L	52705609	52705609	1	9	9	0.01
L	52364091	52364091	1	9	9	0.01
L	51233441	51233441	1	9	9	0.01
L	101822738	101822738	1	9	9	0.01
L	119477797	119477797	1	9	9	0.01
L	2068170610	2068170610	1	9	9	0.01
L	46300190	46300190	1	9	9	0.01
L	3369743612	3369743612	1	10	10	0.01
L	2346364085	2346364085	1	10	10	0.01
L	3404442375	3404442375	1	10	10	0.01
L	2339799231	2339799231	1	10	10	0.01
L	2340084445	2340084445	1	10	10	0.01
L	2340170880	2340170880	1	10	10	0.01
L	3666505249	3666505249	1	10	10	0.01
L	4283309920	4283309920	1	10	10	0.01
L	4295352445	4295352445	1	10	10	0.01
